iteration,scale_type,d_value
246,True Scale,0.5687807208477149
247,Coded (1-5),0.9092867442764037
247,True Scale,0.6025184509765165
248,Coded (1-5),0.7926471924282925
248,True Scale,0.6915823287736472
249,Coded (1-5),0.9717921212569732
249,True Scale,0.6315449535762113
250,Coded (1-5),0.5852453582729672
250,True Scale,0.3945229295111256
251,Coded (1-5),1.1354100802943088
251,True Scale,0.9286988330927033
252,Coded (1-5),0.8343392630453382
252,True Scale,0.7726746764679655
253,Coded (1-5),0.9826431027402188
253,True Scale,0.8486557117420306
254,Coded (1-5),0.6810046092168281
254,True Scale,0.4530717833498009
255,Coded (1-5),0.9609244852289827
255,True Scale,0.7077374563874207
256,Coded (1-5),0.9734031261613
256,True Scale,0.7156748906733171
257,Coded (1-5),0.9350613464964398
257,True Scale,0.682241323299426
258,Coded (1-5),1.0170278201920213
258,True Scale,0.8038133854068282
259,Coded (1-5),0.8869955818921783
259,True Scale,0.7018896764460745
260,Coded (1-5),0.7645610594348609
260,True Scale,0.3912060388011472
261,Coded (1-5),0.6441683509723904
261,True Scale,0.3468189185205694
262,Coded (1-5),0.7428796853326803
262,True Scale,0.441070003680321
263,Coded (1-5),1.2048223713746709
263,True Scale,0.9230685057777942
264,Coded (1-5),0.6064882114170771
264,True Scale,0.46021738369884235
265,Coded (1-5),0.6321733462174364
265,True Scale,0.41901228423713754
266,Coded (1-5),0.6980729560248752
266,True Scale,0.4148159469512176
267,Coded (1-5),0.5882693130857093
267,True Scale,0.4833629522635392
268,Coded (1-5),1.144311994212795
268,True Scale,0.7657191911694851
269,Coded (1-5),0.8895184489608594
269,True Scale,0.5973482203865674
270,Coded (1-5),0.8611745132913269
270,True Scale,0.6137320484910801
271,Coded (1-5),0.7131095153186477
271,True Scale,0.5053934898808584
272,Coded (1-5),0.9230754253152164
272,True Scale,0.743948499563265
273,Coded (1-5),1.1226891905615708
273,True Scale,0.7651903473852527
274,Coded (1-5),0.5485318600761795
274,True Scale,0.263932513190106
275,Coded (1-5),1.045024875583362
275,True Scale,0.652455447198928
276,Coded (1-5),0.7970518206898629
276,True Scale,0.5198112240719629
277,Coded (1-5),0.8273780463164939
277,True Scale,0.6296010562604313
278,Coded (1-5),0.6922786896511076
278,True Scale,0.4891949435420451
279,Coded (1-5),1.084922252873421
279,True Scale,1.0453177739034898
280,Coded (1-5),0.7897117652948045
280,True Scale,0.6303717496089872
281,Coded (1-5),0.911913462125797
281,True Scale,0.6446090388262838
282,Coded (1-5),0.9037084809244839
282,True Scale,0.7854508843818828
283,Coded (1-5),1.1679504446175837
283,True Scale,0.8323101429110519
284,Coded (1-5),0.9589710831347888
284,True Scale,0.6372011103150362
285,Coded (1-5),0.6829824381061674
285,True Scale,0.5494725874319536
286,Coded (1-5),0.6968319636735082
286,True Scale,0.6391731827701389
287,Coded (1-5),0.8476370493132996
287,True Scale,0.5921413596625046
288,Coded (1-5),0.6071637382031233
288,True Scale,0.3666349300369149
289,Coded (1-5),0.8247267461855363
289,True Scale,0.581710542025603
290,Coded (1-5),0.8092179307771138
290,True Scale,0.6543136279153898
291,Coded (1-5),0.8884923559978819
291,True Scale,0.6810050660558181
292,Coded (1-5),0.7584679587091324
292,True Scale,0.5674158838456135
293,Coded (1-5),0.7606043743620942
293,True Scale,0.5985296943900476
294,Coded (1-5),0.698729298525524
294,True Scale,0.4348402291768254
295,Coded (1-5),0.6486486486486485
295,True Scale,0.5374118431288727
296,Coded (1-5),0.8956328076234186
296,True Scale,0.6683210724076424
297,Coded (1-5),1.3977820128948095
297,True Scale,1.0127279790643344
298,Coded (1-5),0.7549772374712822
298,True Scale,0.5653727288361305
299,Coded (1-5),0.6525176518724672
299,True Scale,0.3802356362257518
300,Coded (1-5),1.0201444044182495
300,True Scale,0.7959050089668257
301,Coded (1-5),0.6721901412758602
301,True Scale,0.5267408216220161
302,Coded (1-5),0.6227327304819784
302,True Scale,0.43886596940468536
303,Coded (1-5),0.9537849999072721
303,True Scale,0.6590967160321947
304,Coded (1-5),0.9502749542925046
304,True Scale,0.754006310807637
305,Coded (1-5),0.7452681377565
305,True Scale,0.35834474607059535
306,Coded (1-5),1.1737414335082548
306,True Scale,0.8833108722235025
307,Coded (1-5),0.8484927223217977
307,True Scale,0.587220247082353
308,Coded (1-5),0.792517911032473
308,True Scale,0.6345061761891438
309,Coded (1-5),0.8785614042088346
309,True Scale,0.653591129471505
310,Coded (1-5),0.7621129358971006
310,True Scale,0.45862724919028264
311,Coded (1-5),0.8578658639646058
311,True Scale,0.5746707695906115
312,Coded (1-5),0.8171279907216604
312,True Scale,0.5391823244704401
313,Coded (1-5),0.868598632482991
313,True Scale,0.7033957620546706
314,Coded (1-5),0.7606210432392705
314,True Scale,0.7501646696046907
315,Coded (1-5),1.0418765393365594
315,True Scale,0.8083445339457653
316,Coded (1-5),1.0999306221927203
316,True Scale,0.920353562967568
317,Coded (1-5),0.8431565742379422
317,True Scale,0.6265094229735042
318,Coded (1-5),0.8737124778643738
318,True Scale,0.6803866874069177
319,Coded (1-5),0.8578070151299517
319,True Scale,0.6837429313898009
320,Coded (1-5),1.2713670204623937
320,True Scale,1.1153570676706648
321,Coded (1-5),0.8271760293228032
321,True Scale,0.5906250628350385
322,Coded (1-5),0.8320627229542138
322,True Scale,0.6833749859163528
323,Coded (1-5),0.9658101683893112
323,True Scale,0.7424451766427025
324,Coded (1-5),1.0583279128013643
324,True Scale,0.8614181305327134
325,Coded (1-5),0.6951877473436908
325,True Scale,0.4698114315545751
326,Coded (1-5),0.8308437225183847
326,True Scale,0.6724871590520828
327,Coded (1-5),0.7620862558963427
327,True Scale,0.5168278012152933
328,Coded (1-5),0.8876636614418898
328,True Scale,0.6027172932109228
329,Coded (1-5),0.8740798374387653
329,True Scale,0.5156141718669047
330,Coded (1-5),0.8357535312606088
330,True Scale,0.6043574575955908
331,Coded (1-5),0.8537162902254213
331,True Scale,0.5381015450508346
332,Coded (1-5),0.8670229602261535
332,True Scale,0.6785670351319816
333,Coded (1-5),0.835047512316567
333,True Scale,0.7172057604604999
334,Coded (1-5),0.972509364540667
334,True Scale,0.6932621029499723
335,Coded (1-5),0.8903549729286933
335,True Scale,0.7212870654192941
336,Coded (1-5),0.7790706580016376
336,True Scale,0.5959375824689748
337,Coded (1-5),0.7505561393445904
337,True Scale,0.6814739109200374
338,Coded (1-5),0.9973469705063946
338,True Scale,0.8334943989839975
339,Coded (1-5),0.8711458750769882
339,True Scale,0.7787355830082235
340,Coded (1-5),1.0051819121618826
340,True Scale,0.8750556193889673
341,Coded (1-5),1.0461983288778725
341,True Scale,0.8725595564574176
342,Coded (1-5),1.006654469810786
342,True Scale,0.8092985119796444
343,Coded (1-5),0.5694340825496419
343,True Scale,0.373975399396125
344,Coded (1-5),0.5678904621597485
344,True Scale,0.32412493074683957
345,Coded (1-5),0.7583006346589105
345,True Scale,0.7645880085441127
346,Coded (1-5),0.9317221010404074
346,True Scale,0.7707213261971102
347,Coded (1-5),1.0214040073137614
347,True Scale,0.718562717001232
348,Coded (1-5),0.8036442796816414
348,True Scale,0.5431623641758497
349,Coded (1-5),0.8035953691015021
349,True Scale,0.5773063016031047
350,Coded (1-5),0.679782756385859
350,True Scale,0.5249451483431457
351,Coded (1-5),0.9604998698594392
351,True Scale,0.7336194862605621
352,Coded (1-5),0.9049455913744854
352,True Scale,0.6919634269652019
353,Coded (1-5),0.6776344189879239
353,True Scale,0.5163604390468198
354,Coded (1-5),1.0243530456580103
354,True Scale,0.8858175989232935
355,Coded (1-5),0.8951373654417704
355,True Scale,0.7636440170211174
356,Coded (1-5),0.8982701961884103
356,True Scale,0.704949347696764
357,Coded (1-5),0.9977851578566089
357,True Scale,0.8618423390877772
358,Coded (1-5),0.7316333929924229
358,True Scale,0.49508295785726836
359,Coded (1-5),0.8172545550463051
359,True Scale,0.6600185823152397
360,Coded (1-5),1.1470389643082015
360,True Scale,0.7667319433353901
361,Coded (1-5),1.0209005535813613
361,True Scale,0.7694165484759353
362,Coded (1-5),0.8644674180655852
362,True Scale,0.6451176214316166
363,Coded (1-5),0.5966654877914891
363,True Scale,0.4839816460175356
364,Coded (1-5),0.9850195699112583
364,True Scale,0.6942033322626552
365,Coded (1-5),1.269844089490745
365,True Scale,0.9838668523105091
366,Coded (1-5),0.7107276962857972
366,True Scale,0.5106526787752541
367,Coded (1-5),1.0641248903445537
367,True Scale,0.9010702317948717
368,Coded (1-5),1.0311492813757217
368,True Scale,0.6293410608586036
369,Coded (1-5),1.2189585196434967
369,True Scale,1.01602737634901
370,Coded (1-5),0.8205947219695877
370,True Scale,0.6730577115216293
371,Coded (1-5),1.0423432102079189
371,True Scale,0.8695695344997103
372,Coded (1-5),0.8319888565743437
372,True Scale,0.7204498910100228
373,Coded (1-5),1.0145387136880035
373,True Scale,0.6881291385206036
374,Coded (1-5),0.9178805697333687
374,True Scale,0.6423294339149009
375,Coded (1-5),0.7242146406502268
375,True Scale,0.590700102910608
376,Coded (1-5),1.131525553688717
376,True Scale,0.7713540991569192
377,Coded (1-5),0.7940689230447534
377,True Scale,0.5404404333595424
378,Coded (1-5),0.863966750661739
378,True Scale,0.5379843878413971
379,Coded (1-5),0.8820119543037265
379,True Scale,0.5849045125402174
380,Coded (1-5),0.8810401093072578
380,True Scale,0.7633306411778384
381,Coded (1-5),1.0276186062932104
381,True Scale,0.7841756008714921
382,Coded (1-5),0.7514840063165122
382,True Scale,0.6527915100973941
383,Coded (1-5),0.9535986346643711
383,True Scale,0.7997141877554144
384,Coded (1-5),0.8122671181737582
384,True Scale,0.49880903253108366
385,Coded (1-5),0.8251899367428931
385,True Scale,0.6356770664771209
386,Coded (1-5),0.8313408467910214
386,True Scale,0.6727424238903555
387,Coded (1-5),0.7425027047701833
387,True Scale,0.47772613534538666
388,Coded (1-5),0.7651572816561758
388,True Scale,0.5291484814979233
389,Coded (1-5),0.6595141424636696
389,True Scale,0.37447772415415986
390,Coded (1-5),0.9119117651727321
390,True Scale,0.7341576741560368
391,Coded (1-5),1.0072211714360337
391,True Scale,0.8533498571473377
392,Coded (1-5),0.8975535205245957
392,True Scale,0.6448009619829701
393,Coded (1-5),0.7023188073000436
393,True Scale,0.6119578131510006
394,Coded (1-5),0.7690023391295794
394,True Scale,0.5898303191543018
395,Coded (1-5),0.8837026352174963
395,True Scale,0.6921858525672223
396,Coded (1-5),0.9036770331596544
396,True Scale,0.6108395909876173
397,Coded (1-5),0.795183994669073
397,True Scale,0.5164162853496458
398,Coded (1-5),0.7820689986574758
398,True Scale,0.7491923356931961
399,Coded (1-5),0.6758227573429291
399,True Scale,0.5382056597928818
400,Coded (1-5),1.0243530456580103
400,True Scale,0.830637803661901
401,Coded (1-5),0.8877381212499698
401,True Scale,0.7009044213596444
